Name,Department Profile,Specialties,Education,Location,About,Profile Link
Ann Awadalla,Internal Medicine and Geriatrics,"Undergraduate - John Carroll University
University Heights,
OH USA
2008",Residency - South Pointe Hospital | Medical Education - Touro University Nevada ,"Independence, OH",,https://my.clevelandclinic.org/staff/20952-ann-awadalla
Scott Awender,General Surgery,"Appointed
1994",,"Akron, OH",,https://my.clevelandclinic.org/staff/25686-scott-awender
Adesola Awomolo,Hematology and Medical Oncology,"Medical Education - University of Ibadan
Nigeria",Fellowship - NYU Langone Medical Center | Residency - Harlem Hospital Center | Internship - Harlem Hospital Center ,"Beach, FL",,https://my.clevelandclinic.org/staff/31865-adesola-awomolo
Olumuyiwa Awoniyi,"Gastroenterology, Hepatology & Nutrition","Undergraduate - Beloit College
Biochemistry Beloit,
WI USA
2003",Fellowship - University of North Carolina | Fellowship - University of North Carolina | Residency - The University of Michigan Health System | Internship - The University of Michigan Health System | Medical Education - University of Washington School of Med. | Graduate School - University of Washington School of Med. ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/30843-olumuyiwa-awoniyi
Sabry Ayad,Regional Practice Anesthesiology,"Medical Education - University of Alexandria Faculty of Medicine
MD Alexandria,
Egypt
1990",Graduate School - Cleveland State University | Fellowship - Cleveland Clinic | Residency - Cleveland Clinic | Internship - Cleveland Clinic ,"Cleveland, OH","Dr. Ayad is a Professor of Anesthesiology, Cleveland Clinic Lerner College of Medicine as of 09/2012.",https://my.clevelandclinic.org/staff/16862-sabry-ayad
Sudha Ayala,Internal Medicine and Geriatrics,"Undergraduate - Northwestern University
Linguistics Evanston,
IL USA
2011",Residency - Cleveland Clinic | Medical Education - Lake Erie College of Osteopathic Medicine ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/28960-sudha-ayala
Crystal Ayala Castillo,Hospital Medicine,"Medical Education - University of Medicine and Health Sciences
Saint Kitts And Nevis
2019",Residency - HCA Florida Blake Hospital | Residency - HCA Florida Blake Hospital | Residency - HCA Florida Blake Hospital | Medical Education - University of Medicine and Health Sciences | Medical Education - University of Medicine and Health Sciences ,"Stuart, FL",,https://my.clevelandclinic.org/staff/31422-crystal-ayala-castillo
Malissa Ayers,Neurology,"Undergraduate - Bowling Green State University
Bowling Green,
OH USA
2008",Graduate School - Mount Union College | Graduate School - University of Mount Union ,"Independence, OH",,https://my.clevelandclinic.org/staff/19571-malissa-ayers
Marcela Azevedo,Pulmonary Medicine,"Undergraduate - Colgate University
Molecular Biology Hamilton,
NY USA
2010",Fellowship - Cleveland Clinic | Fellowship - Indiana University Purdue University Indianpolis | Residency - The Ohio State University Wexner Medical Center | Medical Education - Ohio State Medical School ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/30659-marcela-azevedo
Carolina Aziz,Internal Medicine and Geriatrics,"Undergraduate - University of Michigan
Ann Arbor,
MI USA
2000",Residency - Mount Clemens General Hospital | Medical Education - Michigan State University College of Osteopathic Medicine ,"Hills, OH",,https://my.clevelandclinic.org/staff/16477-carolina-aziz
Hany Aziz,Neonatology,neonatology,"Fellowship - MetroHealth Medical Center | Residency - MetroHealth Medical Center | Graduate School - Ain Shams University, Cairo, | Medical Education - Ain Shams University Faculty of Medicine ","Cleveland, OH",,https://my.clevelandclinic.org/staff/4204-hany-aziz
Peter Aziz,"Director, Pediatric Electrophysiology","Abnormal heart rhythms, arrhythmogenic right ventricular dysplasia, heart palpitations, long QT syndrome (LQTS), supraventricular tachycardia, syncope, ventricular tachycardia, Wolff-Parkinson-White Syndrome (WPW), electrophysiology study, radiofrequency ablation, device implantation",,"Cleveland, OH","Dr. Aziz completed his pediatric cardiology fellowship at the Children's Hospital of Philadelphia in 2010 and continued his training there in pediatric electrophysiology. During his fellowship, Dr. Aziz was awarded a training grant under the National Institute of Health (NIH) to investigate genotype and phenotype correlations in pediatric patients with long QT syndrome. Dr. Aziz also acquired skills in catheter ablation of pediatric arrhythmias and device (pacemaker and ICD) implantation. Following his fellowship, Dr. Aziz joined the Cleveland Clinic as a pediatric electrophysiologist. He is active in the training and teaching of medical students, residents and fellows, an activity that continuously inspires him. Dr. Aziz is also quite active in research and was the recent recipient of the SADS 2011 Young Investigator Award for his work on long QT syndrome.Dr Aziz acquired skills in Catheter Ablation of pediatric arrhythmias and device implantation which is a regular part of his clinical practice.",https://my.clevelandclinic.org/staff/15150-peter-aziz
Shaza Azmat,Hospital Medicine,"Medical Education - The Aga Khan University Faculty of Health Sciences
Karachi,
Pakistan
2010",Residency - Cleveland Clinic ,"Heights, OH",,https://my.clevelandclinic.org/staff/20906-shaza-azmat
Joseph Azok,Diagnostic Radiology,"Undergraduate - Case Western Reserve University
Cleveland,
OH USA
2001",Fellowship - Mallinckrodt Institute Washington University | Residency - Mallinckrodt Institute Washington University | Internship - MetroHealth Medical Center | Medical Education - Case Western Reserve University School of Medicine ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/17216-joseph-azok
Raed Azzam,Epilepsy Center,"Undergraduate - American University of Beirut
Beirut,
Lebanon
2002",Fellowship - Vanderbilt Univ Medical Ctr | Residency - University Hospitals Cleveland Medical Center | Internship - Akron General Medical Center | Internship - American University of Beirut | Medical Education - American University of Beirut Medical Center ,"Akron, OH",,https://my.clevelandclinic.org/staff/25407-raed-azzam
Elizabeth Azzato,Laboratory Medicine,"Undergraduate - Washington and Jefferson College
Washington,
PA USA
2002",Fellowship - Hospital of the University of Pennsylvania | Residency - Hospital of the University of Pennsylvania | Medical Education - Duke University School of Medicine ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/24180-elizabeth-azzato
Myriam Bermudez Allende,Radiology,"Undergraduate - Universidad de Puerto Rico
San Juan,
PR U.S. A. (Archived)
2003","Fellowship - Northwestern Memorial Hospital | Residency - University of Massachusetts Medical Center | Internship - San Juan City Hospital | Medical Education - Universidad de Puerto Rico, Medical Science Campus ","Weston, FL",,https://my.clevelandclinic.org/staff/28575-myriam-bermudez-allende
Andres Borja Alvarez,Pulmonary Medicine,"Medical Education - Pontificia Universidad Catolic del Ecuador
Quito,
Ecuador
2006",Fellowship - Mayo Clinic | Residency - Saint Joseph's Hospital and Medical Center | Internship - Saint Joseph's Hospital and Medical Center ,"Beach, FL",,https://my.clevelandclinic.org/staff/31158-andres-borja-alvarez
Nadia Chammas-Aoun,Medicine Institute,"Appointed
2018",,"Akron, OH",,https://my.clevelandclinic.org/staff/24377-nadia-chammas-aoun
Diane Cutter Ali,Primary Care Pediatrics,"adolescence, adolescent health care, adolescent issues, adolescent medicine, adolescents, Asthma, asthma care, attention deficit disorder, breastfeeding, child development, general pediatric health, General Pediatric preventive care, General pediatrics, general pediatrics and adolescent medicine, Healthy newborn care, Newborn Care, newborns, pediatric infectious disease, pediatrics, preventive pediatrics, respiratory illness, young child care",Residency - Cleveland Clinic | Internship - Doctor's Hospital | Medical Education - Kirksville College of Osteopathic Med. | Undergraduate - Ohio University ,"Strongsville, OH","Diane Cutter Ali, D.O., practices general pediatrics at the Cleveland Clinic Strongsville Family Health Center. Prior to joining Cleveland Clinic, she practiced with Parma Pediatrics in Parma, Ohio.Dr. Cutter is board-certified in pediatrics. She completed her undergraduate degree in psychology at Ohio University and then received her doctor of osteopathy degree from Kirksville College of Osteopathic Medicine in Kirksville, Missouri. She participated in a pediatric internship at Doctors Hospital in Columbus, Ohio, followed by a pediatric residency at the Cleveland Clinic.Dr. Cutter is a member of the American Academy of Pediatrics.",https://my.clevelandclinic.org/staff/2105-diane-cutter-ali
Nicole D'Amico,Neurological Surgery,"Undergraduate - Case Western Reserve University School of Medicine
Biochemistry Cleveland,
OH USA
2013",Graduate School - Cleveland State Univeristy | Graduate School - Cuyahoga Community College ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/26156-nicole-damico
Christopher D'Andrea,Hematologic Oncology and Blood Disorders,"Undergraduate - The Ohio State University
Psychology Columbus,
OH USA
2000",Graduate School - DeSales University | Graduate School - Argosy University ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/19479-christopher-dandrea
Iqbal El Assaad,Pediatric Cardiology,"Undergraduate - Weill Cornell Medical College in Qatar
Premedical certificate of completion Education City,
Qatar
2009",Fellowship - Boston Children's Hospital | Fellowship - Boston Children's Hospital | Residency - Cleveland Clinic | Medical Education - Weill Cornell Medical College in Qatar ,"Cleveland, OH","Iqbal El Assaad M.D. is an attending physician in Pediatric Electrophysiology at Cleveland Clinic Children’s. She specializes in treating children and adults with congenital heart disease who have heart rhythm disorders. Dr. El Assaad received her medical degree from Weill Cornell Medical College in Qatar. She then came to the United States and completed her residency in Pediatrics at Cleveland Clinic Children’s followed by pediatric cardiology fellowship at Boston Children’s Hospital, the primary pediatric teaching affiliate of Harvard Medical School and the highest-ranked children’s hospitals in the United States. She then pursued an advanced invasive Electrophysiology fellowship during which she acquired skills in catheter ablation and device implantation. Dr. El Assaad enjoys training and teaching medical students, residents, and fellows and has been recognized as an exceptional teacher. She is equally passionate about doing clinical research and has won multiple awards for outstanding achievements in research, an Outstanding Investigator Award from Children’s Hospital of Philadelphia, and a Top Investigator Award from the American Society of Echocardiography.During her free time, Dr. El Assaad likes to spend time with her nieces and nephews.",https://my.clevelandclinic.org/staff/29007-iqbal-el-assaad
Jorge Gutierrez-Aceves,Urology,"Medical Education - University of Guadalajara School of Medicine
Guadalajara, Jalisco,
Mexico
1983","Fellowship - Loretto Hospital | Fellowship - Eppendorf Hospital, University of Hamburg | Residency - Mexican Institute of Social Security ","Cleveland, OH","Jorge Gutierrez-Aceves, MD, is Center Director for Endourology and Stone Disease at Cleveland Clinic Department of Urology. He is recognized as a world expert in endourology and treatment of kidney stone with 30 years of active practice in endoscopic surgery and more then 10,000 surgeries performed in the field.He is a member and honorary member of various urological associations, including the American Association of Genitourinary Surgeons. He has served in a variety of leadership roles in different international urological organizations, including Secretary General of the Confederacion Americana de Urologia (CAU), the largest Urological organization in Latin-America, President of the Endourological Society and he has been recently named Assistant Secretary of the American Urological Association for the Americas. He was editor of the Spanish edition of AUA News for an 8 years term and has served as reviewer for several urological journals. He participates extensively in several scientific educational activities and programs internationally with continuous teaching experiences as lecturer and surgeon.His main research interest is on minimally invasive endoscopic surgery for treatment of renal and urinary tract stones and on prevention of urinary tract infections related to kidney stones. He is also actively involved with new technology for the endoscopic management of benign prostatic enlargement with vast surgical experience in the treatment of this condition. He has received numerous awards, including Presidential Citation and General Secretary Commendation from the American Urological Association.",https://my.clevelandclinic.org/staff/29020-jorge-gutierrez-aceves
Rula Hajj-Ali,Rheumatologic and Immunologic Disease,"Vasculitis, uveitis, central nervous system vasculitis, systemic inflammatory diseases",Residency - Cleveland Clinic | Fellowship - Cleveland Clinic | Residency - American University of Beirut | Fellowship - American University of Beirut | Residency - American University of Beirut | Internship - Strong Memorial Hospital of The University of Rochester | Medical Education - American University of Beirut Faculty of Medicine | Undergraduate - American University of Beirut ,"Cleveland, OH","Rula Hajj-Ali, MD is a Staff Physician at the Center for Vasculitis Care and Research at Department of Rheumatic and Immunologic Diseases. Dr. Hajj-Ali is a Professor at the Cleveland Lerner College of Medicine of Case Western Reserve University . She has been on staff in that department at the Cleveland Clinic since 2002. She is board-certified in internal medicine and Rheumatology.  She is the Vice Chair for Quality and Safety and the  Associate Director for the Center for  Vasculitis Care and Research.Dr.  Hajj-Ali is a graduate of the American University of Beirut medical school in Lebanon. She performed her internal medicine training at the American University of Beirut, Strong Memorial Hospital in Rochester NY and the Cleveland Clinic, followed by fellowship in rheumatic and immunologic disease at the American University of Beirut and the Department of Rheumatic and Immunologic Diseases at the Cleveland Clinic. Dr. Hajj-Ali has a particular interest in systemic inflammatory disease and vascular inflammatory disease including vasculitides, primary central nervous system(CNS) vasculitis and inflammatory eye disease . Her research interests include central nervous system vasculitis, giant cell arteritis, Behçet’s Disease and Granulomatosis with Polyangiitis ( Wegener Granulomatosis). Dr. Hajj-Ali directs the multidisciplinary CNS vasculitis Clinic which is highly qualified multidisciplinary clinic that   evaluate and treat patients with suspected CNS vasculitis ,  a tremendously challenging disease. Dr. Hajj-Ali holds the alpha omega alpha honor and was elected as “America’s Top Physicians “and received the Cleveland Society of Rheumatology Best Fellow award, and the Clinical Research Award from the American Heart Association. She has been awarded the “Teacher of the Year award “in recognition to her excellence and dedication to the education of the fellows, residents and medical students.   Dr. Hajj-Ali has presented her research findings at various national and international scientific meetings. Her work in CNS vasculitis has been published in leading professional and scientific journals. She is the author of multiple chapters in major books for the topic of CNS vasculitisDr. Hajj-Ali is a member of numerous societies including the American College of Rheumatology and American College of Physicians. She is currently a consultant    for the Vasculitis Foundation. She has served on the planning committee for the American College of Rheumatology annual meeting. Dr. Hajj-ali has lectured nationally and internationally on the subjects of Vasculitis, CNS vasculitis and inflammatory eye diseases.",https://my.clevelandclinic.org/staff/4683-rula-hajj-ali
Laurie Matt-Amaral,Hematology and Medical Oncology,"Appointed
2018",,"Akron, OH",,https://my.clevelandclinic.org/staff/24466-laurie-matt-amaral
Nila Mistry Ambani,"Pediatric Gastroenterology, Hepatology, and Nutrition","Undergraduate - University of Maryland, Baltimore County
Baltimore,
MD USA
2007",Fellowship - Cleveland Clinic | Residency - University Hospitals Rainbow Babies and Children's Hospital | Medical Education - Drexel University - Queen Lane Medical Campus | Graduate School - Drexel University College of Medicine ,"Cleveland, OH","Nila Mistry Ambani grew up in Maryland and attended medical school in Philadelphia. After completing residency training in Cleveland, she went on to practice general pediatrics in Pittsburgh for 3 years. Following this, she completed her Pediatric Gastroenterology fellowship at Cleveland Clinic and joined on as faculty.Her interests include general gastrointestinal disorders and inflammatory bowel disease. She has a particular interest in education of patients and empowering adolescents and young adults with IBD.",https://my.clevelandclinic.org/staff/28645-nila-mistry-ambani
Moaath Mustafa Ali,Hematology and Medical Oncology,"Medical Education - University of Jordan
Amman,
Jordan
2012",Fellowship - University of Maryland Medical Center | Graduate School - Johns Hopkins Bloomberg School of Public Health | Residency - Cleveland Clinic ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/21746-moaath-mustafa-ali
Olga Stenina Adognravi,Molecular Cardiology,"Graduate School - First Medical Academy of Moscow
Moscow,
Russian Federation
1982",Graduate School - National Cardiology Center ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/3955-olga-stenina-adognravi
Melanie Van Amsterdam,Palliative and Supportive Care,"Medical Education - Albany Medical College
Medical Doctor Albany,
NJ USA
1997",Residency - University of New Mexico Health Sciences Center SOM ,"Stuart, FL",,https://my.clevelandclinic.org/staff/27580-melanie-van-amsterdam
Marcelo Gama de Abreu,Intensive Care and Resuscitation,"Internship - University of the State Rio de Janeiro
Physiology, Internal Medicine, Gynecology, General Surgery, Obstetrics, Pediatrics and Neonatology Rio de Janeiro,
Brazil
1991",Medical Education - Dresden University of Technology | Residency - Dresden University of Technology | Medical Education - University of Heidelberg | Graduate School - Federal University of Rio de Janeiro | Medical Education - University of the State Rio de Janeiro ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/28741-marcelo-gama-de-abreu
Karen Johnson-Guy-Anderson,Obstetrics and Gynecology and Women's Health Institute,"Contraception, including Nexplanon and IUDs Well Woman Care Abnormal Uterine Bleeding",Graduate School - Case Western Reserve University | Undergraduate - Case Western Reserve University ,"Heights, OH",,https://my.clevelandclinic.org/staff/22852-karen-johnson-guy-anderson
Juan Lopez de Alda,Center for Emergency Medicine-East,"Undergraduate - The University of Texas at Austin
Austin,
TX USA
2010",Fellowship - Akron Children's Hospital | Residency - Miami Children's Hospital | Medical Education - University of Texas Medical Branch ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/30342-juan-lopez-de-alda
Jessica Petrey,Transplantation Center,"Undergraduate - Lorain County Community College
Elyria,
OH USA
2011",Graduate School - Walsh University | Undergraduate - Walsh University ,"Cleveland, OH","Jessica Petrey is a certified family nurse practitioner with the Center for Gut Rehab and Transplantation. She began her career at Cleveland Clinic as a licensed practical nurse on the transplant step-down unit in 2009. She continued her education, becoming a registered nurse (RN) in 2011. After earning her Master's Degree in Nursing, she moved into the role of certified nurse practitioner with the Intestinal and Multivisceral Transplant team in 2017.",https://my.clevelandclinic.org/staff/21967-jessica-petrey-msn-aprn-fnp-bc-cctn
Shamsa Baaj,Anesthesiology,"Appointed
2022",,"Akron, OH",,https://my.clevelandclinic.org/staff/31197-shamsa-baaj
Marc Alain Babi,"Chief of Neurocritical Care, Regional Director",Neuro Critical Care,Cleveland Clinic (2022-Present): | University of Florida (2017-2021): ,"Weston, FL","Dr. Marc Alain Babi is a Clinical Associate Professor and serves as the Cleveland Clinic Florida Region Chief of Neurocritical Care, Head of Neurology at the Cleveland Clinic Florida Martin Health and the Co-Director of the Comprehensive Stroke Center at the Cleveland Clinic Tradition Hospital. Dr Babi serves on numerous administrative and leadership committees throughout the Cleveland Clinic Health System. Dr. Babi focuses his clinical practice on the specialized field of neuro-critical care and the management of critically ill neurological and neurosurgical patients. Dr Babi is a board-certified neuro-intensivist (ABPN and UCNS) and board-certified neurologist (ABPN). He completed his undergraduate and subsequent medical training (M.D) at Weill Cornell Medical College in Qatar and New York; residency training in neurology at the University of Vermont, where he also served as chief resident; and neurocritical care fellowship training at Duke University Medical Center, where he also served as chief fellow.Prior to joining the Cleveland Clinic in 2022, Dr. Babi was appointed at the University of Florida (UF) from 2017 to 2022 where he served as the neurocritical care fellowship director, neurology residency associate director, and neurology clerkship associate director. While at UF, Dr Babi served on numerous departmental, hospital and institutional administrative, educational and leadership committees, as well as national committees related to neuro critical care and critical care medicine.Dr. Babi is the recipient of numerous honors and awards, such as most recently, the 2022 American Academy of Neurology (AAN) Residency-Fellowship Director Award, Alpha-Omega-Alpha Honor Society Award, AAN Award and UF College of Medicine Exemplary Teacher Award in 2021 and 2019. He is a member of the American Academy of Neurology, the Neurocritical Care Society, the American Heart/Stroke Association and Society of Critical Care Medicine.Dr Babi’s research interests include systems of care integration, innovation in delivery of healthcare, curriculum development, clinical education, critical care simulation, systems of care in the ICU and clinical trials pertaining to intracerebral hemorrhage and subarachnoid hemorrhage and is the recipient of prior grants, including NIH Funding.Outside of work, Dr Babi is an avid outdoorsman",https://my.clevelandclinic.org/staff/28962-marc-alain-babi
Allison Babiuch,Ophthalmology,Pediatric Ophthalmology and Strabismus Low Vision Rehabilitation,Fellowship - University of Wisconsin Hospital and Clinics | Residency - Ochsner Foundation Hospital | Internship - West Suburban Hospital Medical Center | Medical Education - Rush University Medical College | Undergraduate - University of Richmond ,"Strongsville, OH",,https://my.clevelandclinic.org/staff/18819-allison-babiuch
Amy Babiuch,Ophthalmology,Medical retinal examination and treatment of the eye,"Fellowship - Bascom Palmer Eye Institute, University of Miami School of Medicine | Residency - Rush University Medical Center | Internship - Rush University Medical Center | Medical Education - University of Toledo College of Medicine | Undergraduate - University of Toledo ","Avon, OH",,https://my.clevelandclinic.org/staff/14432-amy-babiuch
Jose Baez-Escudero,Cardiovascular Medicine,"Internal Medicine, Cardiovascular disease, Clinical Cardiac Electrophysiology, Anti-arrhythmic Drug Therapy, Bi-ventricular Pacemakers and ICD Implants and Follow up, Implantable Defibrillators, Pacemakers, Pulmonary Vein Isolation for Atrial Fibrillation, Radio-frequency Catheter Ablation of Cardiac Arrhythmia, Re-synchronization Therapy, Trans-catheter Laser lead extra",Fellowship - The Methodist Hospital | Fellowship - University of Chicago Medical Center | Fellowship - Baylor College of Medicine | Residency - Temple University School of Medicine | Medical Education - Universidad San Francisco de Quito ,"Weston, FL","Jose Baez-Escudero, MD, FHRS, is a member in the Fellowship in the Heart Rhythm Society (FHRS) as of March, 2012.",https://my.clevelandclinic.org/staff/16395-jose-baez-escudero
Rebecca Bagley,Obstetrics and Gynecology,General obstetrics and gynecology,Residency - MetroHealth Medical Center | Medical Education - University of Vermont College of Medicine | Undergraduate - Colby College ,"Twinsburg, OH",,https://my.clevelandclinic.org/staff/14608-rebecca-bagley
Kevin Baier,General Surgery,"Undergraduate - Colby College
Music Waterville,
ME USA
2011",Fellowship - Cleveland Clinic | Residency - Maine Medical Center | Medical Education - Tufts University School of Medicine ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/26151-kevin-baier
Mark Bain,Cerebrovascular Center,"Undergraduate - Colgate University
B.A. Hamilton,
NY USA
1998",Fellowship - Cleveland Clinic | Fellowship - Emory University Hospitals and School of Medicine | Residency - Cleveland Clinic | Medical Education - Georgetown University School of Medicine | Graduate School - State University of New York (SUNY) at Buffalo ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/14897-mark-bain
Shivnaveen Bains,Psychiatry and Psychology,"Appointed
2023",,"Akron, OH",,https://my.clevelandclinic.org/staff/29535-shivnaveen-bains
Nicole Bajic,Ophthalmology,"Undergraduate - Loyola University
Biology Chicago,
IL USA
2009",Residency - The University of Chicago | Internship - Resurrection Medical Center | Medical Education - Loyola University Chicago Stritch School of Medicine ,"Independence, OH",,https://my.clevelandclinic.org/staff/26658-nicole-bajic
Petar Bajic,Center Director,"Erectile dysfunction, Peyronie's disease, male genital reconstructive surgery, low testosterone, prostate enlargement",Fellowship - Rush University Medical College | Residency - Loyola University Stritch School of Medicine | Internship - Loyola University Stritch School of Medicine | Medical Education - The University of Toledo College of Medicine | Undergraduate - Case Western Reserve University ,"Cleveland, OH","Dr. Petar Bajic is the Center Director for Men's Health at the Glickman Urological and Kidney Institute in Cleveland, Ohio. A board-certified urologist with fellowship training in men's sexual and urinary dysfunction, he also serves as an Assistant Professor of Urology at the Cleveland Clinic Lerner College of Medicine.Dr. Bajic received his medical degree from the University of Toledo College of Medicine, and completed his urology residency training at Loyola University Medical Center in Chicago, Illinois. He then went on to complete a fellowship in Andrology and Male Genital Reconstructive Surgery at Rush University Medical Center in Chicago. Dr. Bajic is the chair of the Young Clinicians Committee of the Sexual Medicine Society of North America and holds committee appointments in several national and international professional organizations. He is an avid researcher in the areas of sexual and urinary dysfunction, and is involved in patient advocacy efforts on the national and state levels.As Director of the Center for Men's Health, Dr. Bajic oversees the center's operations, including clinical care, research, and education. He is committed to advancing the field of men's health and improving access to cutting edge men's health care.Dr. Bajic specializes in treating men for erectile dysfunction, Peyronie’s disease (penile curvature), sexual and urinary dysfunction due to cancer treatment, low testosterone, vasectomy, and prostate issues.",https://my.clevelandclinic.org/staff/26516-petar-bajic
Christopher Bajzer,Cardiovascular Medicine,"Carotid Artery Disease, Carotid Artery Angioplasty, Cerebrovascular Artery Disease, Peripheral Artery Disease, Coronary Artery Intervention, Coronary Artery Balloon Angioplasty, Drug Eluting Stenting to Coronary Artery, Iliac Artery Stenting, Lower Extremity Artery Angioplasty, Renal Artery Angioplasty",Fellowship - Cleveland Clinic | Fellowship - Cleveland Clinic | Residency - William Beaumont Hospital-Royal Oak | Residency - William Beaumont Hospital-Royal Oak | Medical Education - Wayne State University School of Medicine | Undergraduate - University of Michigan ,"Cleveland, OH","Christopher T. Bajzer, MD, is a Staff Cardiologist in the Robert and Suzanne Tomsich Department of Cardiovascular Medicine at Cleveland Clinic. Dr. Bajzer is board certified in cardiology and interventional cardiology. He specializes in coronary intervention, peripheral vascular intervention, and carotid and cerebrovascular intervention.Specialty/Clinical interests: Atherosclerosis, carotid artery disease, cerebrovascular disease, peripheral artery disease, angioplasty, coronary intervention, drug-eluting stenting, iliac stenting, lower extremity angioplasty, renal angioplastyNumber of Procedures Performed: Dr. Bajzer performs more than150 coronary interventions each year. He has performed more than 1,200 carotid stenting procedures throughout his career.Success Rates: Cleveland Clinic is nationally and internationally renowned for the world’s best cardiovascular care. Success rates for specific procedures are available at:http://my.clevelandclinic.org/heart/about-heart-vascular-institute/treatment-outcomes.aspxEducation and Training: A graduate of Wayne State University School of Medicine in Detroit, MI, Dr. Bajzer completed his internship and residency in internal medicine at William Beaumont Hospital-Royal Oak in Michigan. He served an additional year at William Beaumont as Chief Medical Resident. Dr. Bajzer completed fellowships in cardiology and interventional cardiology at Cleveland Clinic, Cleveland, OH. Research and Publications: Dr. Bajzer’s research activities include serving as a co-investigator for trials involving carotid angioplasty and stenting. He also is the principal investigator or co-investigator for several other trials related to coronary and peripheral vascular intervention. In addition, he has authored articles and book chapters on coronary, peripheral vascular and carotid intervention.About Dr. Bajzer: “I enjoy my field most because it allows me to use every aspect of what I’ve trained to do since the beginning of my college career. From engineering to medical school to cardiology, it all kind of flowed.” Leisure time activities: In his spare time, Dr. Bajzer enjoys working in the yard and spending time with his family.",https://my.clevelandclinic.org/staff/2723-christopher-bajzer
Faisal Bakaeen,Thoracic and Cardiovascular Surgery,"Coronary artery bypass, Valvular heart disease including minimal access surgery and TAVR, Aortic disease, Endocarditis, and Cardiac reoperations","Fellowship - Baylor College of Medicine | Residency - Mayo Graduate School of Medicine | Internship - Cambridge University School of Medicine | Medical Education - Cambridge University School of Medicine | Undergraduate - Trinity College, University of Cambridge ","Cleveland, OH","Faisal Bakaeen, MD, is a cardiac surgeon in the Department of Thoracic and Cardiovascular Surgery in the Sydell and Arnold Miller Family Heart, Vascular & Thoracic Institute. He is board-certified in surgery and cardiac and thoracic surgery. Dr. Bakaeen is Professor of Surgery at the Cleveland Clinic Lerner College of Medicine and holder of the Sheikh Hamdan bin Rashid Al Maktoum Distinguished Chair in Thoracic and Cardiovascular Surgery.Specialty interests: Multiarterial grafting surgery, minimally invasive coronary bypass surgery, minimally invasive heart surgery,  transcatheter aortic valve replacement (TAVR), aortic disease, endocarditis, cardiac reoperationsNumber of Procedures Performed: Cleveland Clinic performs more than 4,000 heart surgeries each year. All Cleveland Clinic cardiac surgeons complete between 300-400 cardiac cases per year.Success rates: Cleveland Clinic is nationally and internationally renowned for the world’s best cardiovascular care.. Success rates for specific procedures are available at: http://my.clevelandclinic.org/heart/about-heart-vascular-institute/treatment-outcomes.aspxEducation and Training: Dr. Bakaeen earned his degree in medicine and surgery with honors from the University of Cambridge School of Medicine, Cambridge, UK.  He served a residency in general surgery at Mayo Clinic, Rochester, Minn., followed by a cardiothoracic surgery fellowship at Baylor College of Medicine, Houston. He completed his subspecialty training in minimally invasive cardiac surgery and complex cardiac procedures at Cleveland Clinic. Dr. Bakaeen was appointed to the Cleveland Clinic medical staff in 2015.Publications and Speaking: Dr. Bakaeen has been published extensively in medical journals, authoring or co-authoring more than 280 papers related to his research in cardiac surgery. He has presented his research findings at more than 100 medical meetings, including the American Association for Thoracic Surgery and American Heart Association, and is frequently invited to serve on expert panels and guidelines committees across the United States and internationally. About Dr. Bakaeen: “I believe that being a heart surgeon is a tremendous privilege. Surgery can often give patients the best chance of a cure and add valuable years to their lives.  Excellence in patient care and outcomes drive our success.” Leisure Activities: In his leisure time, Dr. Bakaeen enjoys jogging, tennis, soccer, travel and activities with his children and family.",https://my.clevelandclinic.org/staff/5079-faisal-bakaeen
Vladimir Bakalov,"Endocrinology, Diabetes and Metabolism","Appointed
2020",,"Beach, FL",,https://my.clevelandclinic.org/staff/26947-vladimir-bakalov
Vickie Baker,Dermatology,"Dermatology: skin cancer diagnosis and treatment, acne, dermatitis, eczema, fungal infections, moles, psoriasis, ringworm, scabies",Residency - Wake Forest University Baptist Medical Center | Medical Education - Medical College of Ohio at Toledo | Graduate School - Kent State University | Undergraduate - Reference Source | Undergraduate - Lake Erie College ,"Elyria, OH",,https://my.clevelandclinic.org/staff/5463-vickie-baker
Baljit Bal,Internal Medicine and Geriatrics,Internal Medicine,"Residency - Northwestern University, Foster McGaw Medical Center | Medical Education - State University of New York Upstate Medical University | Undergraduate - Williams College ","Beachwood, OH",,https://my.clevelandclinic.org/staff/2437-baljit-bal
Silpa Balachandran,Psychiatry and Psychology,"Appointed
2023",,"Akron, OH",,https://my.clevelandclinic.org/staff/29537-silpa-balachandran
